seed,run_name,risk_proxy_group,risk_proxy_value,cell_count,rmse,mae,wet_dry_class_error_rate,false_dry_rate,false_wet_rate,false_dry_cell_fraction,false_wet_cell_fraction,pred_wet_fraction,target_wet_fraction,mean_confidence_margin,min_confidence_margin,max_confidence_margin
seed123,phase10_margin_aware_boundary_band_seed123_40e,boundary_distance_band,near_boundary_1_3px,2939071,0.07053881363612376,0.024045408782311015,0.00915935681717114,0.04654668190816875,0.005264190057848985,0.004391863959734215,0.004767492857436925,0.09472959312653556,0.09435396422883285,0.09101371224802791,9.119510650662521e-07,2.5320722579956056
seed123,phase10_margin_aware_boundary_band_seed123_40e,boundary_distance_band,no_target_boundary_frame,0,,,,,,,,,,,,
seed123,phase10_margin_aware_boundary_band_seed123_40e,target_depth_bin,deep,341316,0.2633552767836483,0.19168126362266474,0.02663514162828581,0.02663514162828581,0.0,0.02663514162828581,0.0,0.9733648583717142,1.0,0.5219479717422733,2.521276474001799e-06,2.5320722579956056
seed123,phase10_margin_aware_boundary_band_seed123_40e,target_depth_bin,dry_or_near_dry,6603530,0.015193368524091849,0.010489914700660404,0.013396774149583632,0.0,0.013396774149583632,0.0,0.013396774149583632,0.013396774149583632,0.0,0.04912424020949032,2.056360244723221e-07,0.5347460627555847
seed123,phase10_margin_aware_boundary_band_seed123_40e,target_depth_bin,moderate,196519,0.11822999750292511,0.09634042856490438,0.12110788269836505,0.12110788269836505,0.0,0.12110788269836505,0.0,0.878892117301635,1.0,0.11795118703266477,1.0728836059847868e-07,1.165811014175415
seed123,phase10_margin_aware_boundary_band_seed123_40e,target_depth_bin,shallow,329739,0.059874665724531095,0.044462582893379864,0.36554365725619353,0.36554365725619353,0.0,0.36554365725619353,0.0,0.6344563427438065,1.0,0.04491204002253952,2.5629997253695525e-07,0.8609768271446228
seed123,phase10_margin_aware_boundary_band_seed123_40e,wet_dry_outcome,correct_dry,6515064,0.013054905938431288,0.009876961067452771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04942376526609109,9.119510650662521e-07,0.2098520278930664
seed123,phase10_margin_aware_boundary_band_seed123_40e,wet_dry_outcome,correct_wet,714149,0.17192807574279986,0.11555350425206365,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2973703567229563,8.16583633420076e-07,2.5320722579956056
seed123,phase10_margin_aware_boundary_band_seed123_40e,wet_dry_outcome,false_dry,153425,0.20569865674126417,0.10751334507644167,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.02458107563505076,1.0728836059847868e-07,0.09927107691764832
seed123,phase10_margin_aware_boundary_band_seed123_40e,wet_dry_outcome,false_wet,88466,0.06840735835408526,0.05563078406719941,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.027065766746719764,2.056360244723221e-07,0.5347460627555847
