row,col,observation_count,low_margin_count,false_dry_count,deep_underprediction_count,boundary_count,high_risk_case_count,low_margin_fraction,false_dry_fraction,deep_underprediction_fraction,boundary_fraction,high_risk_case_fraction
1,11,1368,13,2,96,213,0,0.009502923976608187,0.0014619883040935672,0.07017543859649122,0.15570175438596492,0.0
1,12,1368,9,2,263,426,0,0.006578947368421052,0.0014619883040935672,0.1922514619883041,0.31140350877192985,0.0
1,13,1368,36,0,0,420,0,0.02631578947368421,0.0,0.0,0.30701754385964913,0.0
1,14,1368,110,0,0,0,2,0.0804093567251462,0.0,0.0,0.0,0.0014619883040935672
1,15,1368,4,0,0,0,0,0.0029239766081871343,0.0,0.0,0.0,0.0
1,16,1368,95,0,0,0,0,0.06944444444444445,0.0,0.0,0.0,0.0
1,17,1368,54,0,0,432,0,0.039473684210526314,0.0,0.0,0.3157894736842105,0.0
1,18,1368,13,6,267,432,0,0.009502923976608187,0.0043859649122807015,0.19517543859649122,0.3157894736842105,0.0
1,19,1368,2,0,264,432,0,0.0014619883040935672,0.0,0.19298245614035087,0.3157894736842105,0.0
1,20,1368,1,0,56,9,0,0.0007309941520467836,0.0,0.04093567251461988,0.006578947368421052,0.0
1,21,1368,7,0,24,15,0,0.005116959064327485,0.0,0.017543859649122806,0.010964912280701754,0.0
1,22,1368,7,0,86,15,2,0.005116959064327485,0.0,0.06286549707602339,0.010964912280701754,0.0014619883040935672
1,23,1368,2,0,156,15,0,0.0014619883040935672,0.0,0.11403508771929824,0.010964912280701754,0.0
1,24,1368,0,0,105,0,0,0.0,0.0,0.07675438596491228,0.0,0.0
1,25,1368,0,0,179,282,0,0.0,0.0,0.13084795321637427,0.20614035087719298,0.0
1,26,1368,1,0,111,432,0,0.0007309941520467836,0.0,0.08114035087719298,0.3157894736842105,0.0
1,27,1368,123,17,40,420,0,0.08991228070175439,0.012426900584795321,0.029239766081871343,0.30701754385964913,0.0
1,28,1368,183,43,0,270,0,0.1337719298245614,0.031432748538011694,0.0,0.19736842105263158,0.0
1,29,1368,28,0,0,105,0,0.02046783625730994,0.0,0.0,0.07675438596491228,0.0
1,30,1368,109,0,0,105,0,0.07967836257309942,0.0,0.0,0.07675438596491228,0.0
1,31,1368,127,0,0,0,0,0.09283625730994152,0.0,0.0,0.0,0.0
1,32,1368,218,0,0,174,0,0.15935672514619884,0.0,0.0,0.12719298245614036,0.0
1,33,1368,277,156,46,180,0,0.20248538011695907,0.11403508771929824,0.033625730994152045,0.13157894736842105,0.0
1,34,1368,361,128,137,180,0,0.2638888888888889,0.0935672514619883,0.10014619883040936,0.13157894736842105,0.0
1,35,1368,355,129,136,180,0,0.2595029239766082,0.09429824561403509,0.09941520467836257,0.13157894736842105,0.0
1,36,1368,356,115,134,168,0,0.260233918128655,0.08406432748538012,0.097953216374269,0.12280701754385964,0.0
1,37,1368,383,116,130,168,0,0.27997076023391815,0.0847953216374269,0.09502923976608187,0.12280701754385964,0.0
1,38,1368,364,71,120,150,1,0.26608187134502925,0.051900584795321635,0.08771929824561403,0.10964912280701754,0.0007309941520467836
1,39,1368,367,59,103,144,0,0.2682748538011696,0.04312865497076023,0.07529239766081872,0.10526315789473684,0.0
1,40,1368,282,57,74,138,0,0.20614035087719298,0.041666666666666664,0.054093567251461985,0.10087719298245613,0.0
1,41,1368,247,82,46,126,0,0.18055555555555555,0.059941520467836254,0.033625730994152045,0.09210526315789473,0.0
1,42,1368,406,57,31,138,0,0.29678362573099415,0.041666666666666664,0.02266081871345029,0.10087719298245613,0.0
1,43,1368,355,90,32,144,0,0.2595029239766082,0.06578947368421052,0.023391812865497075,0.10526315789473684,0.0
1,44,1368,228,125,33,144,0,0.16666666666666666,0.09137426900584796,0.02412280701754386,0.10526315789473684,0.0
1,45,1368,130,84,3,144,0,0.09502923976608187,0.06140350877192982,0.0021929824561403508,0.10526315789473684,0.0
1,46,1368,124,49,0,108,0,0.09064327485380116,0.035818713450292396,0.0,0.07894736842105263,0.0
1,47,1368,269,94,0,108,0,0.1966374269005848,0.06871345029239766,0.0,0.07894736842105263,0.0
1,48,1368,272,81,1,108,0,0.19883040935672514,0.05921052631578947,0.0007309941520467836,0.07894736842105263,0.0
1,49,1368,284,62,2,120,1,0.20760233918128654,0.04532163742690058,0.0014619883040935672,0.08771929824561403,0.0007309941520467836
1,50,1368,262,64,7,120,1,0.1915204678362573,0.04678362573099415,0.005116959064327485,0.08771929824561403,0.0007309941520467836
1,51,1368,227,101,10,162,0,0.16593567251461988,0.07383040935672515,0.007309941520467836,0.11842105263157894,0.0
1,52,1368,292,11,27,240,0,0.2134502923976608,0.00804093567251462,0.019736842105263157,0.17543859649122806,0.0
1,53,1368,228,64,103,240,0,0.16666666666666666,0.04678362573099415,0.07529239766081872,0.17543859649122806,0.0
1,54,1368,130,13,69,240,0,0.09502923976608187,0.009502923976608187,0.05043859649122807,0.17543859649122806,0.0
1,55,1368,239,7,67,264,0,0.17470760233918128,0.005116959064327485,0.0489766081871345,0.19298245614035087,0.0
1,56,1368,191,11,109,363,0,0.13961988304093567,0.00804093567251462,0.07967836257309942,0.26535087719298245,0.0
1,57,1368,100,5,132,363,0,0.07309941520467836,0.003654970760233918,0.09649122807017543,0.26535087719298245,0.0
1,58,1368,154,5,124,363,2,0.11257309941520467,0.003654970760233918,0.09064327485380116,0.26535087719298245,0.0014619883040935672
1,59,1368,349,60,73,300,0,0.25511695906432746,0.043859649122807015,0.0533625730994152,0.21929824561403508,0.0
1,60,1368,341,94,33,240,0,0.24926900584795322,0.06871345029239766,0.02412280701754386,0.17543859649122806,0.0
1,61,1368,276,111,37,186,2,0.20175438596491227,0.08114035087719298,0.027046783625730993,0.13596491228070176,0.0014619883040935672
1,62,1368,305,82,13,174,0,0.22295321637426901,0.059941520467836254,0.009502923976608187,0.12719298245614036,0.0
1,63,1368,92,66,7,126,2,0.06725146198830409,0.04824561403508772,0.005116959064327485,0.09210526315789473,0.0014619883040935672
1,64,1368,325,40,3,375,0,0.23757309941520469,0.029239766081871343,0.0021929824561403508,0.2741228070175439,0.0
1,65,1368,259,78,22,432,0,0.18932748538011696,0.05701754385964912,0.01608187134502924,0.3157894736842105,0.0
1,66,1368,31,0,32,432,1,0.02266081871345029,0.0,0.023391812865497075,0.3157894736842105,0.0007309941520467836
